configuration_order,configuration,perturbed_component,perturbation_percent,weight_td,weight_safety,weight_uncertainty,weight_novelty,evaluation,method,seed,training_epochs,training_episode_ids,evaluation_episode_id,stress,disturbance_stress,posthoc_descriptive_only,short,label,episode_id,cost,sensor_stream_hash,sensor_hold_fraction,sensor_observable_jump_mean,sensor_hidden_event_count,violation_rate,violation_count,known_static_violation_rate,known_static_violation_count,uncertain_true_violation_rate,uncertain_true_violation_count,min_clearance_cm,min_known_static_clearance_cm,min_uncertain_true_clearance_cm,mean_clearance_cm,goal_error_cm,reached,first_reach_step,path_length_m,mean_cbf_correction,cbf_intervention_rate,raw_sensor_rmse_cm,belief_center_rmse_cm,runtime_ms_per_episode,obs1_belief_rmse_cm,obs2_belief_rmse_cm,violation_rate_pct,cbf_intervention_pct
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,exploratory_extreme,Full,0,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.5529037935091088,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.14464285714285718,0.29707338551337847,102,0,0,0,0,0,0,2.6358710837325354,2.6358710837325354,7.1036168058130098,14.475624191096752,5.3243377842307664,1,174,4.4348168113105197,0.077244738341928632,0.29999999999999999,17.033498679676352,3.073109780136416,189.10639997920953,3.5317947225393782,2.5326731884282214,0,30
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,exploratory_extreme,Full,1,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.4804524511127726,f20dbe1a3f65da6f77a7c5fac2cbc471528df01f2a29fbaa882d666d1df876a1,0.13214285714285712,0.3143754537926603,106,0,0,0,0,0,0,2.9033466860916728,2.9033466860916728,6.8456866335745961,14.275368170182656,4.442947388224483,1,175,4.39660985692759,0.075224061435027231,0.30714285714285716,17.137587195985315,3.9163159971660284,188.24980000499636,3.6920684233441698,4.1284007480696427,0,30.714285714285715
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,exploratory_extreme,Full,2,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.2114661412103169,d3065e68e7cb4fb92529011bc8a9d1f295ea72b8472b0014248bd205efc7ac7b,0.1160714285714286,0.30762553614912591,104,0,0,0,0,0,0,2.9420929676443968,2.9420929676443968,6.5502729030212619,14.152414979823424,3.9905585947537765,1,163,4.34495826479559,0.057847884897629903,0.21785714285714286,17.872855851595784,3.8859563139138005,184.81040000915527,4.6283380998158856,2.9630726250103523,0,21.785714285714285
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,exploratory_extreme,Full,3,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,8.381386444984857,9cd8996272aa3ca8c9b31c986e40de9c6859295fab3e61fc583f3256561c5903,0.17321428571428577,0.30534112087765553,102,0,0,0,0,0,0,2.3718642792288662,2.3718642792288662,7.2143791243901942,13.361542268260798,4.737654322704266,1,188,4.4128942982626285,0.10459600114796677,0.34642857142857142,13.999210472268727,2.7700183719062994,201.51320000877604,2.3668693491057859,3.121527357826678,0,34.642857142857139
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,exploratory_extreme,Full,4,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.5340228840296444,9129723395e79e9e894db5a6f1d857714ef1f264d2b4322fe2b8189179f5b62c,0.13214285714285712,0.32037904141502532,105,0,0,0,0,0,0,2.68257317955837,2.68257317955837,7.0460418320774849,14.195719148775474,4.9833900597534946,1,171,4.4098283557537625,0.079086246802282753,0.2857142857142857,17.497046383388739,3.9379829356598166,200.43189998250455,4.0478511515924973,3.8249601641908777,0,28.571428571428569
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,moderate,Full,0,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,6.682972379439601,919d0407e563ea0029f2f89be5f8842c5b235027d56d34aaaa2e6162b26bd2b0,0.082142857142857184,0.19221087402784509,115,0,0,0,0,0,0,3.4232575984119942,5.0596404989942698,3.4232575984119942,14.794813769942561,5.2213857315368202,1,157,4.35499746136969,0.040715260402853601,0.20000000000000001,6.2360390816550977,3.6741062311552852,184.62809998891316,3.7523563874443875,3.5941528539050043,0,20
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,moderate,Full,1,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,6.8432432437410142,548fc84d998080b345581df7cd8a791dc6e29113a6e9f3dab1fb2daee5efbebc,0.057142857142857162,0.19320578384570397,98,0,0,0,0,0,0,3.5918829256106233,5.3060796511806316,3.5918829256106233,14.337672027189235,4.2528472246208464,1,163,4.3441271614120689,0.048872436778500387,0.25357142857142856,6.1211589281923811,3.6674548047607511,183.35450001177378,3.3044391622215619,3.9976407183615059,0,25.357142857142854
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,moderate,Full,2,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,6.9356623296949795,8e1029a16f14a94846951373cb2afde3d63eff7f641e6be3f1903e0527a0d318,0.0625,0.19749822277187395,102,0,0,0,0,0,0,4.0509787516468192,4.0509787516468192,5.0797936553911018,14.46094130996444,3.2463506736366816,1,158,4.3402766564507278,0.045135163201629663,0.18214285714285713,6.1424837488873107,3.3923689419291767,189.22739999834448,3.8465399611583742,2.8671352258906624,0,18.214285714285712
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,moderate,Full,3,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.4509141026262879,b5bc777e80af2240cb24b947317bb3ab60d0fa04a4801a82412f2c22a8c37ea0,0.064285714285714279,0.19533851428819332,105,0,0,0,0,0,0,3.398574662873302,3.398574662873302,6.479941679568582,14.073463752938849,4.4083751418615948,1,171,4.4216731500582664,0.061090056408027928,0.24642857142857144,5.0922953048920592,3.2315894912547716,203.99420001194812,3.1909378361665719,3.2717360843590582,0,24.642857142857146
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,moderate,Full,4,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,6.7812290647481719,fb6c84dbaf5cd6dac320f65454aa46cc52161533e0103ae360110483137d2486,0.074999999999999956,0.19546318535899598,108,0,0,0,0,0,0,4.1724685491742273,4.9394264293867982,4.1724685491742273,14.698288129809731,4.87170040390256,1,158,4.3351439192367964,0.04324574721493863,0.19285714285714287,6.4519625589913181,3.2458271639142784,201.90079999156296,2.9912594994575903,3.4818320698896925,0,19.285714285714288
1,td_minus20,td,-20,0.14937759336099582,0.4045643153526971,0.31120331950207464,0.13485477178423236,exploratory_extreme,Full,0,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.6062409321590074,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.14464285714285718,0.29707338551337847,102,0,0,0,0,0,0,2.5952748043395495,2.5952748043395495,7.1141832301577139,14.463686007933577,5.3618531743071314,1,173,4.4324790721781753,0.077341345640337705,0.29642857142857143,17.033498679676352,2.9988449989442527,204.34259998728521,3.4684675262032805,2.4404662823032828,0,29.642857142857142
1,td_minus20,td,-20,0.14937759336099582,0.4045643153526971,0.31120331950207464,0.13485477178423236,exploratory_extreme,Full,1,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.5810130272869198,f20dbe1a3f65da6f77a7c5fac2cbc471528df01f2a29fbaa882d666d1df876a1,0.13214285714285712,0.3143754537926603,106,0,0,0,0,0,0,2.8889468304313519,2.8889468304313519,6.8769534128361762,14.231945932660301,4.3924758285711487,1,177,4.4025174951858199,0.075555599030740037,0.30714285714285716,17.137587195985315,3.8087862572831561,209.62530001997948,3.6822688759199078,3.931234085216702,0,30.714285714285715
1,td_minus20,td,-20,0.14937759336099582,0.4045643153526971,0.31120331950207464,0.13485477178423236,exploratory_extreme,Full,2,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.160561885825504,d3065e68e7cb4fb92529011bc8a9d1f295ea72b8472b0014248bd205efc7ac7b,0.1160714285714286,0.30762553614912591,104,0,0,0,0,0,0,2.8909018520461522,2.8909018520461522,6.5873445258192023,14.22013525594395,3.594123439587654,1,163,4.346967477026662,0.055765761509877755,0.20714285714285716,17.872855851595784,4.2926943238767237,200.40709999739192,5.2515502240412273,3.0455983584280135,0,20.714285714285715
