step,time,stress,sensor_stream_hash,sensor_valid_fraction,sensor_observable_jump_score,sensor_hidden_event,obs1_true_x,obs1_true_y,obs1_raw_x,obs1_raw_y,obs1_valid,obs1_jump_score,obs1_hidden_event,obs1_reported_sigma,obs1_raw_error,obs2_true_x,obs2_true_y,obs2_raw_x,obs2_raw_y,obs2_valid,obs2_jump_score,obs2_hidden_event,obs2_reported_sigma,obs2_raw_error
10,0.55,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2635486608928785,0,0.82,1.6,0.740285534092164,1.653197913997662,1,0.3070648711362714,0,0.01,0.0958353490559416,1.82,0.92,1.7235005993388255,1.01258672167574,1,0.2200324506494856,0,0.01,0.133732701156549
11,0.605,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2893355565717879,0,0.82,1.6,0.7340987994397887,1.667697626460035,1,0.3152886595806412,0,0.01,0.1093708594005187,1.82,0.92,1.7293163293092602,1.024402096279326,1,0.2633824535629346,0,0.01,0.1382871137794994
12,0.66,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2374451021275216,0,0.82,1.6,0.7246212514539945,1.6590918787403657,1,0.2560334428449762,0,0.01,0.1122005160739833,1.82,0.92,1.7228711988243162,1.033245511799887,1,0.2188567614100671,0,0.01,0.1491929956822502
13,0.715,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2735309120521335,0,0.82,1.6,0.7410718178957012,1.6674881574161586,1,0.3693879434169917,0,0.01,0.1038475292037203,1.82,0.92,1.7242952327272152,1.042014328546723,1,0.1776738806872753,0,0.01,0.1550706253596907
14,0.77,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3715481768768199,0,0.82,1.6,0.7232935894755504,1.6555530348062462,1,0.4282581265884863,0,0.01,0.1115269900638735,1.82,0.92,1.7156143175347176,1.0288823262381674,1,0.3148382271651535,0,0.01,0.1508367716134812
15,0.825,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3046563898752754,0,0.82,1.6,0.7106952052765687,1.6687027724004708,1,0.3642169041777815,0,0.01,0.1291030947926591,1.82,0.92,1.7209431927439849,1.0399178624535497,1,0.2450958755727692,0,0.01,0.155539528092327
16,0.88,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2679803563130086,0,0.82,1.6,0.7087802284782104,1.667494361878029,1,0.0452874911161962,0,0.01,0.130097373004536,1.82,0.92,1.733271954326975,1.0187069651694447,1,0.4906732215098209,0,0.01,0.1313956577639622
17,0.935,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2938792544221406,0,0.82,1.6,0.7239160614658855,1.6751803009048083,1,0.3395097046943802,0,0.01,0.1220008233101932,1.82,0.92,1.736338215507009,1.030734712850555,1,0.2482488041499009,0,0.01,0.1387857010453402
18,0.99,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2928575156246358,0,0.82,1.6,0.7083475314178874,1.69019465545681,1,0.4325783029550283,0,0.01,0.1435317024683127,1.82,0.92,1.7419332901188933,1.0255076406328494,1,0.1531367282942433,0,0.01,0.1312488987518423
19,1.045,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.4399823632387619,0,0.82,1.6,0.7330798297240068,1.6899516005708606,1,0.4946698515901114,0,0.01,0.1250855964772414,1.82,0.92,1.723161195736044,1.0211788042975667,1,0.3852948748874123,0,0.01,0.1400532200642244
20,1.1,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1791182088661425,0,0.82,1.6,0.7330798297240068,1.6899516005708606,0,0.0,0,0.01,0.1250855964772414,1.82,0.92,1.7402266211792066,1.015737795023727,1,0.3582364177322851,0,0.01,0.1246174841845676
21,1.155,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1524327495608014,0,0.82,1.6,0.7330798297240068,1.6899516005708606,0,0.0,0,0.01,0.1250855964772414,1.82,0.92,1.725906617010033,1.020962248294789,1,0.3048654991216028,0,0.01,0.1380106528614195
22,1.21,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.0,0.0,0,0.82,1.6,0.7330798297240068,1.6899516005708606,0,0.0,0,0.01,0.1250855964772414,1.82,0.92,1.725906617010033,1.020962248294789,0,0.0,0,0.01,0.1380106528614195
23,1.265,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.3305572845459284,0,0.82,1.6,0.7329360947485524,1.723007016525294,1,0.6611145690918568,0,0.01,0.1507011934660338,1.82,0.92,1.725906617010033,1.020962248294789,0,0.0,0,0.01,0.1380106528614195
24,1.32,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.2244785375528006,0,0.82,1.6,0.727874030685518,1.7011373652788708,1,0.4489570751056013,0,0.01,0.1368062896130313,1.82,0.92,1.725906617010033,1.020962248294789,0,0.0,0,0.01,0.1380106528614195
25,1.375,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1964380924361481,0,0.82,1.6,0.7218860586816832,1.7198462784723414,1,0.3928761848722962,0,0.01,0.1548853638814335,1.82,0.92,1.725906617010033,1.020962248294789,0,0.0,0,0.01,0.1380106528614195
26,1.43,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3393714834439738,0,0.82,1.6,0.7288673537412728,1.7080404074175362,1,0.2743115543113251,0,0.01,0.1413431598948654,1.82,0.92,1.7250583065209797,1.0411660174483646,1,0.4044314125766226,0,0.01,0.1539322219191345
27,1.485,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2123045829425205,0,0.82,1.6,0.7192564331853003,1.7150569893224858,1,0.2379934583656293,0,0.01,0.1529293204277794,1.82,0.92,1.7245155872651887,1.0318510289061376,1,0.1866157075194117,0,0.01,0.1470643591856076
28,1.54,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.4309991138246019,0,0.82,1.6,0.7351578628875532,1.739999571093086,1,0.5916038715082136,0,0.01,0.1637011549624963,1.82,0.92,1.7179583154287037,1.0436740976974748,1,0.2703943561409901,0,0.01,0.1603364831578654
29,1.595,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.4141234291936242,0,0.82,1.6,0.7330153223178572,1.727053880345495,1,0.2624358123618495,0,0.01,0.153977344639767,1.82,0.92,1.7461360945840727,1.0461976094137428,1,0.565811046025399,0,0.01,0.1462248718414095
30,1.65,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3919703271282654,0,0.82,1.6,0.7474980440254873,1.7175084055633023,1,0.3469093927112003,0,0.01,0.1380751932758368,1.82,0.92,1.7595884843502376,1.0634174821919875,1,0.4370312615453305,0,0.01,0.1556217382674753
31,1.705,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2255576919345856,0,0.82,1.6,0.7663061541866599,1.7131081864057938,1,0.3863195239533782,0,0.01,0.1252057942358679,1.82,0.92,1.762514902240113,1.0620273969466214,1,0.064795859915793,0,0.01,0.1532198353604941
32,1.76,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3353315744735619,0,0.82,1.6,0.7715885765428164,1.7181002092142392,1,0.1453606241990749,0,0.01,0.1276374762269992,1.82,0.92,1.7826578720829236,1.0451716079654343,1,0.525302524748049,0,0.01,0.1306229916899305
33,1.815,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.0918894916522513,0,0.82,1.6,0.7803564182364283,1.7208500708101842,1,0.1837789833045027,0,0.01,0.1271862932468412,1.82,0.92,1.7826578720829236,1.0451716079654343,0,0.0,0,0.01,0.1306229916899305
34,1.87,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1799110597999464,0,0.82,1.6,0.763098109055412,1.715767683713962,1,0.3598221195998928,0,0.01,0.1289960533720535,1.82,0.92,1.7826578720829236,1.0451716079654343,0,0.0,0,0.01,0.1306229916899305
35,1.925,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.2509696973345107,0,0.82,1.6,0.7706465553795401,1.739702571386427,1,0.5019393946690215,0,0.01,0.1481640001750914,1.82,0.92,1.7826578720829236,1.0451716079654343,0,0.0,0,0.01,0.1306229916899305
36,1.98,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.5749686265718899,0,0.82,1.6,0.7947803366348353,1.7317921045974256,1,0.5079428639122043,0,0.01,0.1341834201921794,1.82,0.92,1.76666647419453,1.017338764361391,1,0.6419943892315753,0,0.01,0.1109923421783914
37,2.035,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1383582625766801,0,0.82,1.6,0.7947803366348353,1.7317921045974256,0,0.0,0,0.01,0.1341834201921794,1.82,0.92,1.775826193341106,1.0277084139884625,1,0.2767165251533602,0,0.01,0.1164148944020797
38,2.09,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.0301269838957349,0,0.82,1.6,0.7947803366348353,1.7317921045974256,0,0.0,0,0.01,0.1341834201921794,1.82,0.92,1.7785654014457415,1.0264541849240425,1,0.0602539677914699,0,0.01,0.1142336178416613
39,2.145,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.0854074286441549,0,0.82,1.6,0.7947803366348353,1.7317921045974256,0,0.0,0,0.01,0.1341834201921794,1.82,0.92,1.786278653276116,1.03012161384323,1,0.1708148572883099,0,0.01,0.1151690021677267
40,2.2,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1965685016254238,0,0.82,1.6,0.7947803366348353,1.7317921045974256,0,0.0,0,0.01,0.1341834201921794,1.82,0.92,1.789578140191419,1.0494995689574411,1,0.3931370032508477,0,0.01,0.1330249146377324
41,2.255,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3823184567856193,0,0.82,1.6,0.7877610506599658,1.7239010444208311,1,0.2112242470055311,0,0.01,0.1280266326321286,1.82,0.92,1.7876352422779775,1.0218972303520557,1,0.5534126665657075,0,0.01,0.1069136244630452
42,2.31,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.1235465722121665,0,0.82,1.6,0.7923612434060863,1.7223353321704686,1,0.0971868883181149,0,0.01,0.1254186364274324,1.82,0.92,1.7933545669163364,1.0267417158490426,1,0.1499062561062181,0,0.01,0.1100171486933457
43,2.365,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3569938398735492,0,0.82,1.6,0.7984987961966089,1.7387924577212162,1,0.3512870823981542,0,0.01,0.1404480262776608,1.82,0.92,1.808549474834231,1.0168425198382594,1,0.3627005973489442,0,0.01,0.0975171173445747
44,2.42,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.1733761100884499,0,0.82,1.6,0.7889548869523031,1.7355381174397408,1,0.2016699623951755,0,0.01,0.1390481223291175,1.82,0.92,1.815776564214336,1.0162169537749344,1,0.1450822577817242,0,0.01,0.096309602862661
45,2.475,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.241749635549525,0,0.82,1.6,0.7984630773566557,1.7280960905647482,1,0.2414866031675752,0,0.01,0.1298939854455068,1.82,0.92,1.8274068482281065,1.0128760224141744,1,0.2420126679314748,0,0.01,0.0931709017888762
46,2.53,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2466020584013845,0,0.82,1.6,0.7961645436289204,1.74090850281183,1,0.2603391364253246,0,0.01,0.1429102345708282,1.82,0.92,1.8181153076921623,1.005859433343666,1,0.2328649803774443,0,0.01,0.0858801162038723
47,2.585,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2215553613772007,0,0.82,1.6,0.7917077924376151,1.7267670324957736,1,0.2965426201281079,0,0.01,0.1298858327014057,1.82,0.92,1.8159073850627263,0.9988715438603452,1,0.1465681026262936,0,0.01,0.0789776546115364
48,2.64,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.115239315834478,0,0.82,1.6,0.7821466458468394,1.7203338781365434,1,0.2304786316689561,0,0.01,0.1261472102268815,1.82,0.92,1.8159073850627263,0.9988715438603452,0,0.0,0,0.01,0.0789776546115364
49,2.695,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.2103436229872223,0,0.82,1.6,0.8031806455899756,1.7204573776088172,1,0.4206872459744447,0,0.01,0.1216259450247485,1.82,0.92,1.8159073850627263,0.9988715438603452,0,0.0,0,0.01,0.0789776546115364
50,2.75,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3642324360553337,0,0.82,1.6,0.808570624922667,1.7124620873423346,1,0.1928486905863262,0,0.01,0.1130413716479645,1.82,0.92,1.842683789733,0.998385861134136,1,0.5356161815243412,0,0.01,0.0816020682482436
51,2.805,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.359448566476235,0,0.82,1.6,0.7983032538730066,1.727773763011814,1,0.3687092730478737,0,0.01,0.1296027905050596,1.82,0.92,1.82922074835542,0.9871909801643828,1,0.3501878599045963,0,0.01,0.067820719663569
52,2.86,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3816492578968685,0,0.82,1.6,0.8061877197543287,1.7295644292719936,1,0.1617050251403186,0,0.01,0.1302985817964354,1.82,0.92,1.838092128516,1.0159326821675323,1,0.6015934906534185,0,0.01,0.097623791270859
53,2.915,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.54320647791943,0,0.82,1.6,0.8183399190641822,1.7396333862630664,1,0.3156325984143457,0,0.01,0.1396432541442806,1.82,0.92,1.8185956775369987,0.9826889715187188,1,0.7707803574245142,0,0.01,0.0627046989599249
54,2.97,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.454495674085448,0,0.82,1.6,0.8323481771883119,1.7277290785063446,1,0.367664977303518,0,0.01,0.1283245688711007,1.82,0.92,1.835788721462064,1.0035931538773255,1,0.541326370867378,0,0.01,0.0850711414086166
55,3.025,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.6178670471841285,1,0.82,1.6,0.5377790791175939,1.469944138078515,1,1.0,1,0.01,0.3107461591135982,1.82,0.92,1.826374894896938,0.996500462038483,1,0.2357340943682569,0,0.01,0.0767656171540903
56,3.08,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3823733771664442,1,0.82,1.6,0.5489713680516802,1.48829253841292,1,0.4298516611184206,1,0.01,0.2931468511002749,1.82,0.92,1.8108929317096965,1.002879774267612,1,0.3348950932144677,0,0.01,0.0833786284097702
57,3.135,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.5971457674341877,1,0.82,1.6,0.5797799087478078,1.4920353420818755,1,0.6207011387549719,1,0.01,0.2633667777085583,1.82,0.92,1.8385151453280169,0.9951643241117418,1,0.5735903961134035,0,0.01,0.0774111505255705
58,3.19,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.4512946546727239,1,0.82,1.6,0.5783429609422381,1.5060881202286192,1,0.2825210736476327,1,0.01,0.2592635062795358,1.82,0.92,1.809563938811468,0.984072021215606,1,0.6200682356978152,0,0.01,0.0649163714003165
59,3.245,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.2600000064327724,1,0.82,1.6,0.6043026642611604,1.5075351299189643,1,0.5200000128655449,1,0.01,0.2346808318630571,1.82,0.92,1.809563938811468,0.984072021215606,0,0.0,0,0.01,0.0649163714003165
60,3.3,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.4286791917974695,1,0.82,1.6,0.6347356005076196,1.537726103507444,1,0.8573583835949391,1,0.01,0.1954505970920476,1.82,0.92,1.809563938811468,0.984072021215606,0,0.0,0,0.01,0.0649163714003165
61,3.355,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.2065275117752784,1,0.82,1.6,0.6553882933330635,1.5376770091214569,1,0.4130550235505568,1,0.01,0.1760146845119706,1.82,0.92,1.809563938811468,0.984072021215606,0,0.0,0,0.01,0.0649163714003165
62,3.41,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.0332267836556645,1,0.82,1.6,0.6532297122486189,1.535151000565873,1,0.0664535673113291,1,0.01,0.1789349647337988,1.82,0.92,1.809563938811468,0.984072021215606,0,0.0,0,0.01,0.0649163714003165
63,3.465,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.4412768868090609,1,0.82,1.6,0.6806578272888956,1.5576427033494875,1,0.7094161511465918,1,0.01,0.1456378442417723,1.82,0.92,1.8067868980166413,0.975872653239255,1,0.17313762247153,0,0.01,0.0574137565746803
64,3.52,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2543611254947872,1,0.82,1.6,0.6694310499915426,1.5467956366229407,1,0.3122174787256625,1,0.01,0.1596925577132745,1.82,0.92,1.8106587110081829,0.9668424606629716,1,0.1965047722639119,0,0.01,0.0477647966706724
65,3.575,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.1525136731660956,1,0.82,1.6,0.6630218670741047,1.5449191912220364,1,0.1335644758335875,1,0.01,0.1663611424357702,1.82,0.92,1.815650570304887,0.9598725158525044,1,0.1714628704986037,0,0.01,0.0401090396180329
66,3.63,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.8690129261902707,1,0.82,1.6,0.6988874022912455,1.5362376717384956,1,0.7380258523805414,1,0.01,0.1368718226264648,1.82,0.92,1.7609935873515603,0.9533803894650408,1,1.0,0,0.01,0.0677938576456286
67,3.685,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1430914762064408,1,0.82,1.6,0.6875607554183288,1.5449817426580177,1,0.2861829524128817,1,0.01,0.14341255923493,1.82,0.92,1.7609935873515603,0.9533803894650408,0,0.0,0,0.01,0.0677938576456286
68,3.74,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1888189614680215,1,0.82,1.6,0.7037939173255984,1.55462593555276,1,0.377637922936043,1,0.01,0.1247503882759174,1.82,0.92,1.7609935873515603,0.9533803894650408,0,0.0,0,0.01,0.0677938576456286
69,3.795,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.0663698814222462,1,0.82,1.6,0.7029897490454573,1.5612140251830886,1,0.1327397628444925,1,0.01,0.1232710455498092,1.82,0.92,1.7609935873515603,0.9533803894650408,0,0.0,0,0.01,0.0677938576456286
70,3.85,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.2991580861923514,1,0.82,1.6,0.6758191813721284,1.5737326456203315,1,0.5983161723847028,1,0.01,0.1465540254183087,1.82,0.92,1.7609935873515603,0.9533803894650408,0,0.0,0,0.01,0.0677938576456286
71,3.905,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.4180304862749828,1,0.82,1.6,0.6914844153083145,1.5877450927305643,1,0.4203561481850873,1,0.01,0.1290985602585414,1.82,0.92,1.7494348823861785,0.9361054772503916,1,0.4157048243648782,0,0.01,0.0723797086296662
72,3.96,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3049091004416187,1,0.82,1.6,0.7042868432763453,1.568884922530822,1,0.4558983140306001,1,0.01,0.1198235481233385,1.82,0.92,1.7517959102685212,0.9434303578815432,1,0.1539198868526371,0,0.01,0.0721164303509041
73,4.015,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.1651357378063538,1,0.82,1.6,0.7042868432763453,1.568884922530822,0,0.0,1,0.01,0.1198235481233385,1.82,0.92,1.7682997482015796,0.9439973256829484,1,0.3302714756127076,0,0.01,0.0569981374779348
74,4.07,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.0794424669787861,1,0.82,1.6,0.7042868432763453,1.568884922530822,0,0.0,1,0.01,0.1198235481233385,1.82,0.92,1.7614849628741287,0.9480801870003964,1,0.1588849339575723,0,0.01,0.0649038247857499
75,4.125,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.5,0.165221185843765,1,0.82,1.6,0.7042868432763453,1.568884922530822,0,0.0,1,0.01,0.1198235481233385,1.82,0.92,1.756266027694305,0.932403991093704,1,0.33044237168753,0,0.01,0.0649297945547019
76,4.18,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.5924027491883372,1,0.82,1.6,0.4916073954421245,1.503721997973573,1,1.0,1,0.01,0.3422150733128303,1.82,0.92,1.7472841587950128,0.9345739476950108,1,0.1848054983766743,0,0.01,0.0741619411394135
77,4.235,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.4068267101565022,1,0.82,1.6,0.5035083558929735,1.4873847661137916,1,0.4042464617002491,1,0.01,0.3359302780233037,1.82,0.92,1.7290405369429869,0.9252892610486212,1,0.4094069586127552,0,0.01,0.0911131176179402
