method,short,label,seed,episode_id,stress,disturbance_stress,cost,sensor_stream_hash,sensor_hold_fraction,sensor_observable_jump_mean,sensor_hidden_event_count,violation_rate,violation_count,known_static_violation_rate,known_static_violation_count,uncertain_true_violation_rate,uncertain_true_violation_count,min_clearance_cm,min_known_static_clearance_cm,min_uncertain_true_clearance_cm,mean_clearance_cm,goal_error_cm,reached,first_reach_step,path_length_m,mean_cbf_correction,cbf_intervention_rate,raw_sensor_rmse_cm,belief_center_rmse_cm,runtime_ms_per_episode,obs1_belief_rmse_cm,obs2_belief_rmse_cm,epoch
AC,AC,actor-critic + uniform replay,0,0,1.0,1.0,5.405916270726965,1290502f5cc1479a39bc6122deed877d23d1bce160e08ae72c73bcc571644b84,0.017391304347826,0.1417645157079876,49,0.0,0,0.0,0,0.0,0,3.008520833398623,5.1109948013176485,3.008520833398623,11.292180183900989,100.86685903003954,0,-1,3.3622615270567606,0.0,0.0,2.7838451772286747,2.7838451772286747,69.01119998656213,2.8623738697355865,2.703036028508246,0
AC,AC,actor-critic + uniform replay,0,1,1.06,1.0,5.865152478304512,f6e58b002b846aa4267cda0b2e2981838f73f75ca75bf5d2a362520b310a5904,0.0478260869565216,0.1420473057002858,54,0.0,0,0.0,0,0.0,0,0.7999219841848704,4.2403579125152,0.7999219841848704,10.652676803164084,88.24684653377962,0,-1,3.084038170608451,0.0,0.0,3.4134176202636395,3.4134176202636395,68.56270000571385,3.89853057686391,2.846805058642008,1
AC,AC,actor-critic + uniform replay,0,2,1.12,1.0,5.651910022257232,1842d6b48e65e0d845f28064a4d4f76b39d06f25382eba6e08249ef0e33ce533,0.0304347826086957,0.1399595651115591,54,0.0,0,0.0,0,0.0,0,0.1361492493955729,2.6984242563677747,0.1361492493955729,10.22686952134918,89.01169312971342,0,-1,3.095261109135535,0.0,0.0,3.577919731384339,3.577919731384339,67.69959998200648,4.026512457488355,3.064346037599188,2
AC,AC,actor-critic + uniform replay,0,3,1.18,1.0,5.708517285196533,46ea4884edf0d2d0b527757a729d68cf9f1fd3b2fabfd6591af84f82c2602b72,0.017391304347826,0.1524116784961557,52,0.0,0,0.0,0,0.0,0,0.3856446212242737,2.856539904927096,0.3856446212242737,10.39420403724248,89.60201332472656,0,-1,3.101781843762254,0.0,0.0,3.2517818404875123,3.2517818404875123,69.30169998668134,3.5459656347681308,2.9281902249157503,3
AC,AC,actor-critic + uniform replay,0,4,1.24,1.0,5.651745151589688,b0491bfd11ca6fcbe089bf0e5db6cc4754806de544a0d4f16a05ac5e63f7364f,0.0782608695652173,0.1491568713023484,59,0.0,0,0.0,0,0.0,0,0.310337699599425,2.0934354204200027,0.310337699599425,10.148020135916642,89.36206193753829,0,-1,3.152582531517684,0.0,0.0,3.675996890911805,3.675996890911805,68.3339000097476,3.6020674253680127,3.7484685602375207,4
AC,AC,actor-critic + uniform replay,0,5,1.3,1.0,5.657152192202401,ebeae7456964e82fb4b1a10e1e1c9f599b5b0d2eb001b0de6e2b0cd7afa80e72,0.0086956521739129,0.1565754079322125,65,0.0,0,0.0,0,0.0,0,0.38040062135897,1.9832142310821963,0.38040062135897,9.967868779262233,86.48505031851427,0,-1,3.2203275177770263,0.0,0.0,3.7021721908795295,3.7021721908795295,68.00579998525791,3.974506998808404,3.408144946780652,5
AC,AC,actor-critic + uniform replay,0,6,1.36,1.0,5.736846006060774,291357f8730d0569e5d924fe750842809c913891fcdeb2d6fd549cfbd69b5722,0.0391304347826086,0.1519452576187987,62,0.0,0,0.0,0,0.0,0,0.3279603990573754,2.287105342620135,0.3279603990573754,10.268182249995473,89.81578552054478,0,-1,3.1697465496950605,0.0,0.0,3.9181495437130014,3.9181495437130014,74.51750000473112,4.38574034535786,3.386602031077337,6
AC,AC,actor-critic + uniform replay,0,7,1.42,1.0,5.564981140504701,13cb2f6395130d1e3c7cf1f5148694bfc1295285f769af058dd9fbaf01626bb7,0.0652173913043477,0.1666850351028523,57,0.0,0,0.0,0,0.0,0,0.7387423704221935,1.8821996923017048,0.7387423704221935,10.243710226942431,89.70928546851893,0,-1,3.09577199103118,0.0,0.0,3.4589376898819224,3.4589376898819224,68.08569998247549,3.876956825422616,2.982902220787731,7
AC,AC,actor-critic + uniform replay,0,8,1.48,1.0,5.544723635762223,79fa959b972ab0033b20e30817c29d8193f16bf72c81dd0d6aad776374799d2d,0.0608695652173912,0.1643146425838269,54,0.0,0,0.0,0,0.0,0,0.4036598018032272,1.6413829268834372,0.4036598018032272,9.933836451197534,89.21813138821345,0,-1,3.0956279027621822,0.0,0.0,4.474091178477708,4.474091178477708,67.94569999328814,4.692978882368977,4.243928952786901,8
AC,AC,actor-critic + uniform replay,0,9,1.54,1.0,10.982276272677296,20650919392802bdf9e7744194b816b55707da2eb76474072ea5c7ddd49b5c01,0.0608695652173912,0.1763712207068929,56,0.008695652173913,1,0.0,0,0.008695652173913,1,-0.3391866268657062,2.3543169871497303,-0.3391866268657062,10.20728367136649,90.05379087312578,0,-1,3.149555500553169,0.0,0.0,4.79899362008503,4.79899362008503,67.83690000884235,5.67460226239648,3.7228441674126502,9
AC,AC,actor-critic + uniform replay,1,0,1.0,1.0,5.520795539075128,e8edde64e892ebb977ec4b1e3b5814b7d9685e100a04edf4f3dc4ff6189acfdf,0.0695652173913043,0.1359021002214868,51,0.0,0,0.0,0,0.0,0,2.474099688308137,5.441279116751807,2.474099688308137,11.775404374410687,96.65406943287252,0,-1,3.437246524780077,0.0,0.0,2.799488377691587,2.799488377691587,87.48700001160614,2.7173795814492467,2.8792565991907124,0
AC,AC,actor-critic + uniform replay,1,1,1.06,1.0,5.715091714732594,3db7b85512db5a6a4d1345606bbee7ab7e216f1eabc9cd4b0cbcfad23fb35fb8,0.0478260869565216,0.1394895016764791,51,0.0,0,0.0,0,0.0,0,0.7814168563669233,4.048513104729466,0.7814168563669233,10.664873497110309,88.44000566814401,0,-1,3.081094847645898,0.0,0.0,2.872671187953841,2.872671187953841,123.02850000560284,3.371450264922262,2.2666721464199173,1
AC,AC,actor-critic + uniform replay,1,2,1.12,1.0,5.6924795915319,2ba18529a4b500943ad609e0a74d6a99d1ad48bab163c87fa1ea8c86ee361358,0.0608695652173912,0.1382506680824534,64,0.0,0,0.0,0,0.0,0,0.8886286748623407,3.1563476469449334,0.8886286748623407,10.37295200706006,89.86089007233173,0,-1,3.163773661226595,0.0,0.0,3.1789130905033693,3.1789130905033693,81.08450000872836,3.801308897361479,2.4002140614511487,2
AC,AC,actor-critic + uniform replay,1,3,1.18,1.0,5.721218800865978,38c78961cb4d6e16083d2d825a353f49fd94e71c5e732c5a90d3cd29fc138c48,0.017391304347826,0.1550019709177601,51,0.0,0,0.0,0,0.0,0,0.3354282098684519,2.84913719561824,0.3354282098684519,10.29970671872086,87.40472388202026,0,-1,3.061962342942329,0.0,0.0,3.5725460202859605,3.5725460202859605,80.4294999979902,3.324146825884052,3.8047625437190016,3
AC,AC,actor-critic + uniform replay,1,4,1.24,1.0,10.791909549889596,46f50b36dbd96a355c6621a61b833117852052254b98fa93bbbb8725d426308b,0.0652173913043477,0.1485740745288825,57,0.008695652173913,1,0.0,0,0.008695652173913,1,-0.0595962305019376,2.147373909150368,-0.0595962305019376,10.108809912672506,88.31019356380683,0,-1,3.1938312523733683,0.0,0.0,4.200432586039286,4.200432586039286,81.82449999731034,4.389449161217299,4.002499704036231,4
AC,AC,actor-critic + uniform replay,1,5,1.3,1.0,5.505559120279375,d2446016ac0d03e852a2b8b18cc53356235435eff02c45166fb96ec150809a79,0.0130434782608696,0.1563220208341262,60,0.0,0,0.0,0,0.0,0,0.3128701498841868,2.131152972759851,0.3128701498841868,10.184298433320777,90.66571330023466,0,-1,3.126552748287452,0.0,0.0,3.7613863649963655,3.7613863649963655,83.39049998903647,3.3000966885995764,4.171979939963189,5
AC,AC,actor-critic + uniform replay,1,6,1.36,1.0,5.585539484015669,a7a659024af26122fb7341d324f6faa89fdcf1a0426d162f9be24a684bcc0444,0.026086956521739,0.1553241374453545,50,0.0,0,0.0,0,0.0,0,1.301411961023227,2.484582432763152,1.301411961023227,10.38798348864484,88.93245883809793,0,-1,3.090414244880469,0.0,0.0,3.295655513367797,3.295655513367797,74.4301000086125,3.2091804529679755,3.3799188371721858,6
AC,AC,actor-critic + uniform replay,1,7,1.42,1.0,5.659868802533532,39eb78d339619663a0cf9fc7636303b03e57b59a00cdc1e5470cf29b047c8208,0.026086956521739,0.1624331350521206,66,0.0,0,0.0,0,0.0,0,0.5732592837643796,1.9481349542743476,0.5732592837643796,10.093304804067577,88.3952248168427,0,-1,3.1474333402090613,0.0,0.0,4.082266437073774,4.082266437073774,96.68519999831916,3.747197216477167,4.391846029557933,7
AC,AC,actor-critic + uniform replay,1,8,1.48,1.0,5.572325672889775,b7bece9fcd5d8109b4da0c46714d050abb9169d495eab385071daa80f785f004,0.0521739130434782,0.1598221055420095,55,0.0,0,0.0,0,0.0,0,0.5258767618738391,2.538119817477984,0.5258767618738391,10.32947845910094,88.7613415811429,0,-1,3.152193564622997,0.0,0.0,4.112429762028775,4.112429762028775,79.95600000140257,4.261028022819956,3.958256849167716,8
AC,AC,actor-critic + uniform replay,1,9,1.54,1.0,5.617351599790332,65fd49d28eb428bff39948f28fd355485786a0d7e3b753a043d087664ce8428c,0.0391304347826086,0.179610572795698,60,0.0,0,0.0,0,0.0,0,0.9461792491114284,2.093637278150249,0.9461792491114284,10.238513747128632,90.7215341003521,0,-1,3.126179570128224,0.0,0.0,4.413094820514357,4.413094820514357,79.57050000550225,4.514077053746222,4.309747108885058,9
