method,raw_sensor_rmse_cm,belief_center_rmse_cm,min_true_clearance_cm,violation_count,goal_error_cm,reached_rate,estimation_improvement_vs_raw_pct
AC,16.70803971658298,16.70803971658298,-1.7568198058447084,7.8,4.000005701603017,1.0,0.0
AC+CBF,16.70803971658298,16.70803971658298,-1.2596388572150345,4.6,4.624950234490361,1.0,0.0
AC+CBF+AER,16.70803971658298,16.70803971658298,-0.3470898109437627,3.0,4.368788410380187,1.0,0.0
AC+CBF+PER,16.70803971658298,16.70803971658298,-1.0423919312881993,6.2,4.466215777451793,1.0,0.0
AC+CBF+UE,16.70803971658298,11.07910688163515,3.215644535268698,0.0,17.71870739834646,0.8,33.689965611950456
Full,16.70803971658298,3.516676679756473,2.7071496392511682,0.0,4.695777629933358,1.0,78.95218865043684
