method,short,seed,waypoint,x,y
AC+CBF,AC+CBF,3,11,1.62,1.58
AC+CBF,AC+CBF,4,0,0.22,2.82
AC+CBF,AC+CBF,4,1,0.374822904538471,2.46
AC+CBF,AC+CBF,4,2,0.5598950490307542,2.1754631527937365
AC+CBF,AC+CBF,4,3,0.77,1.9023534219098053
AC+CBF,AC+CBF,4,4,0.9033137027413928,1.613863093925402
AC+CBF,AC+CBF,4,5,1.0109177347135758,1.2604385779940046
AC+CBF,AC+CBF,4,6,1.11,0.89
AC+CBF,AC+CBF,4,7,1.549474107769652,0.77
AC+CBF,AC+CBF,4,8,2.02,0.78
AC+CBF,AC+CBF,4,9,2.16,1.0581543136130491
AC+CBF,AC+CBF,4,10,1.8899999999995645,1.33
AC+CBF,AC+CBF,4,11,1.62,1.58
AC+CBF+PER,AC+CBF+PER,0,0,0.22,2.82
AC+CBF+PER,AC+CBF+PER,0,1,0.3209977939399666,2.46
AC+CBF+PER,AC+CBF+PER,0,2,0.53,2.1479833218021573
AC+CBF+PER,AC+CBF+PER,0,3,0.77,1.8540572008535292
AC+CBF+PER,AC+CBF+PER,0,4,0.9171972141568576,1.5617935515834709
AC+CBF+PER,AC+CBF+PER,0,5,1.0420064713764032,1.2491645127185604
AC+CBF+PER,AC+CBF+PER,0,6,1.11,0.89
AC+CBF+PER,AC+CBF+PER,0,7,1.549761279304024,0.77
AC+CBF+PER,AC+CBF+PER,0,8,2.02,0.78
AC+CBF+PER,AC+CBF+PER,0,9,2.16,1.0537797855338054
AC+CBF+PER,AC+CBF+PER,0,10,1.8900000000000468,1.33
AC+CBF+PER,AC+CBF+PER,0,11,1.62,1.58
AC+CBF+PER,AC+CBF+PER,1,0,0.22,2.82
AC+CBF+PER,AC+CBF+PER,1,1,0.3187379924523806,2.46
AC+CBF+PER,AC+CBF+PER,1,2,0.53,2.144806038463028
AC+CBF+PER,AC+CBF+PER,1,3,0.77,1.845203868658126
AC+CBF+PER,AC+CBF+PER,1,4,0.8845828302232019,1.5409808338635396
AC+CBF+PER,AC+CBF+PER,1,5,0.9967195246272992,1.2185531252697357
AC+CBF+PER,AC+CBF+PER,1,6,1.11,0.89
AC+CBF+PER,AC+CBF+PER,1,7,1.5492042754524062,0.77
AC+CBF+PER,AC+CBF+PER,1,8,2.02,0.78
AC+CBF+PER,AC+CBF+PER,1,9,2.16,1.0557895818213745
AC+CBF+PER,AC+CBF+PER,1,10,1.889999999999994,1.33
AC+CBF+PER,AC+CBF+PER,1,11,1.62,1.58
AC+CBF+PER,AC+CBF+PER,2,0,0.22,2.82
