stress_multiplier,method,short,violation_rate_mean,violation_rate_std,violation_count_mean,known_static_violation_rate_mean,known_static_violation_rate_std,known_static_violation_count_mean,uncertain_true_violation_rate_mean,uncertain_true_violation_rate_std,uncertain_true_violation_count_mean,min_clearance_cm_mean,min_clearance_cm_std,min_known_static_clearance_cm_mean,min_known_static_clearance_cm_std,min_uncertain_true_clearance_cm_mean,min_uncertain_true_clearance_cm_std,cost_mean,cost_std,belief_center_rmse_cm_mean,belief_center_rmse_cm_std,goal_error_cm_mean,reached_rate
0.8,AC,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940851077049239,0.34731836819167894,2.2621178007117146,0.09585295724502788,0.940851077049239,0.34731836819167894,6.371521703942104,0.05979254153903818,2.025848066864614,0.3436627593828659,4.712571014482999,1.0
0.8,AC+CBF,AC+CBF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.104186181304469,0.7552995064613035,4.273197006422303,0.564881535252691,3.104186181304469,0.7552995064613035,6.970056025769883,0.1089830875141574,2.025848066864614,0.3436627593828659,4.809923731661721,1.0
0.8,AC+CBF+PER,AC+CBF+PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4377889537924906,0.915363566519948,4.257712189797471,0.577184997772005,2.4377889537924906,0.915363566519948,6.710020658911327,0.12739076768247648,2.025848066864614,0.3436627593828659,4.932711503761448,1.0
0.8,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9037692629359526,0.398635681504615,3.942656990021328,0.4828705691682551,5.195150837156403,0.44853845895672867,7.039932365524441,0.07617801020752583,1.778340961041491,0.3600044315524771,4.808966607693607,1.0
0.8,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9591173299523854,0.34585234105699647,4.329707672888697,0.6535625525911241,4.397159898289672,0.5865881712876984,6.799413921057132,0.11190328766915096,2.025848066864614,0.3436627593828659,4.817209795237874,1.0
0.8,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.979861411516887,0.43363100735102195,3.9957296593034357,0.4677132416787576,5.584729818706854,0.5475971661158545,6.8604843022824955,0.12648683412329714,1.562605452188683,0.32144772718417874,4.906379180816533,1.0
1.0,AC,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8673231054250345,0.3195435029608141,2.261713445033865,0.09675718491817471,0.8673231054250345,0.3195435029608141,6.368288241855369,0.04983078348808042,2.5029263099077452,0.4316746059771436,4.790616813474712,1.0
1.0,AC+CBF,AC+CBF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4876387272517304,0.7415690359701806,4.29897809831641,0.6818925238277198,2.4876387272517304,0.7415690359701806,6.949940246248188,0.11613086802756241,2.5029263099077452,0.4316746059771436,4.797804837557337,1.0
1.0,AC+CBF+PER,AC+CBF+PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.086387187453243,0.9649844370482656,4.344682801292944,0.6752504092003182,2.086387187453243,0.9649844370482656,6.694659204867378,0.1500429432848738,2.5029263099077452,0.4316746059771436,4.889625950953276,1.0
1.0,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.900687360555934,0.43240347128055473,3.9437114395046193,0.5272682199892254,5.260469298374681,0.42766299085852644,7.059920739940603,0.09832991513540823,2.1896009252891693,0.4482967367664684,4.816241688555791,1.0
1.0,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8025259567893555,0.5657807718650489,4.399305521936842,0.7655100323921162,4.1372639227805665,0.7789278176542948,6.7975772401114565,0.1401954293950703,2.5029263099077452,0.4316746059771436,4.8074526027597955,1.0
1.0,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9190781653885467,0.41871713050357845,3.9630721274189775,0.5154619770628027,5.674985229999082,0.6465275126725997,6.874783490482153,0.12355644184593226,1.910088407162395,0.3908475279053094,4.986280052613604,1.0
1.3,AC,AC,0.0007142857142857001,0.001597191412499818,0.2,0.0,0.0,0.0,0.0007142857142857001,0.001597191412499818,0.2,0.8440589814549426,0.5751366374743491,2.256746904157862,0.10668297040126297,0.8440589814549426,0.5751366374743491,7.394596208835026,2.2957372554688558,3.277092087673666,0.542875592112942,4.839023984368064,1.0
1.3,AC+CBF,AC+CBF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025436913451275,0.8423460914935254,4.254285814991589,0.9408164558071412,2.025436913451275,0.8423460914935254,6.971215294039157,0.14713210348668124,3.277092087673666,0.542875592112942,4.807899378638675,1.0
1.3,AC+CBF+PER,AC+CBF+PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8178240510296508,1.2317072463320984,4.297990507964944,0.9862800247537612,1.8178240510296508,1.2317072463320984,6.725424800512293,0.19010960704926097,3.277092087673666,0.542875592112942,4.8610699395506956,1.0
1.3,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.665808573614877,0.5454714368453962,3.7444273503435284,0.7113958397450149,5.1765257559625395,0.48453111725383496,7.129561342758568,0.15679485098240306,2.8297903693736886,0.5727165403860648,4.832842493510315,1.0
1.3,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5255424891782012,0.79207681550359,4.361215641775961,0.9830852530847815,3.9716301694660396,1.0232448683964415,6.81640726132334,0.17196352356880845,3.277092087673666,0.542875592112942,4.800748910899819,1.0
1.3,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.684466200553898,0.5249696238060279,3.753130876100491,0.6762350194430006,5.87785624942086,0.7782376615621658,6.930354428079092,0.16268982994446265,2.338641720554369,0.3991077693691842,4.9113495555223485,1.0
1.6,AC,AC,0.0014285714285714201,0.00319438282499968,0.4,0.0,0.0,0.0,0.0014285714285714201,0.00319438282499968,0.4,0.7020092334839051,0.8846882911161336,2.2510241919028626,0.12104891579573329,0.7020092334839051,0.8846882911161336,8.43425892045575,4.62055607225184,4.09036760345415,0.7691863700391306,4.779394977375302,1.0
1.6,AC+CBF,AC+CBF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4997722006684229,1.1668305581502891,4.166425775578685,1.1381518307929768,1.4997722006684229,1.1668305581502891,7.004838962955398,0.19036134834833876,4.09036760345415,0.7691863700391306,4.857511489521106,1.0
1.6,AC+CBF+PER,AC+CBF+PER,0.0007142857142857001,0.001597191412499818,0.2,0.0,0.0,0.0,0.0007142857142857001,0.001597191412499818,0.2,1.5186761295668967,1.293559437994895,4.121064335301144,1.159053698420624,1.5186761295668967,1.293559437994895,7.7982817188735725,2.429638750454908,4.09036760345415,0.7691863700391306,4.915999441406196,1.0
1.6,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4114036614301915,0.5840694100458587,3.5343344349839656,0.848367235390891,5.3882633127973865,0.8074507206645608,7.271404735548765,0.28238066870411577,3.4819840890441056,0.83214883670095,4.711873332618658,1.0
1.6,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2385623615579284,0.824514011987423,4.123788581079783,1.1760021087130141,3.536230774883932,0.9888890466035768,6.860086573820071,0.17830731331872002,4.09036760345415,0.7691863700391306,4.851325348486391,1.0
1.6,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4498858381091906,0.6369579085846068,3.5367767780765673,0.8305714811470023,6.0314673306798525,0.8650181945637523,7.012688607514558,0.1871209306215299,2.6713457059710093,0.40339478259431877,4.798695288139877,1.0
2.0,AC,AC,0.00357142857142854,0.006185895741317382,1.0,0.0,0.0,0.0,0.00357142857142854,0.006185895741317382,1.0,0.6179456465485471,1.1963392354950773,2.243933456711618,0.14146263533403713,0.6179456465485471,1.1963392354950773,11.532496880246075,8.991136809304592,5.061329272240752,0.7991264357011743,4.71116325736985,1.0
2.0,AC+CBF,AC+CBF,0.0007142857142857001,0.001597191412499818,0.2,0.0,0.0,0.0,0.0007142857142857001,0.001597191412499818,0.2,1.2380536690819122,1.454949798679199,4.127008117099991,1.4138729237423455,1.2380536690819122,1.454949798679199,8.057483019181904,2.1344758964320816,5.061329272240752,0.7991264357011743,4.807810198039436,1.0
2.0,AC+CBF+PER,AC+CBF+PER,0.00214285714285712,0.003194382824999675,0.6,0.0,0.0,0.0,0.00214285714285712,0.003194382824999675,0.6,1.1390571218848344,1.3484601200141109,4.038601893711369,1.3394088357157743,1.1390571218848344,1.3484601200141109,9.890439606214883,4.659664037814293,5.061329272240752,0.7991264357011743,4.891092620982792,1.0
2.0,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2636449108839884,0.5902094146312306,3.461652883517158,1.026041815129432,5.358081984602462,1.1181973559882457,7.294893082347208,0.283805434043228,4.11416160507291,0.8349564286876421,4.692213103195331,1.0
2.0,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0376321744857093,0.947238747556612,4.14879986389631,1.4420070663620899,3.1813984099242925,1.020644785696852,6.88387829116796,0.21101398520060935,5.061329272240752,0.7991264357011743,4.818337533430535,1.0
2.0,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3054178416411304,0.6600117557952443,3.449716183394446,0.9799743364750789,6.00587686033022,0.9826779307415332,7.084631248418566,0.2445326803863799,3.000003936052969,0.4150783280007011,4.6407485101840695,1.0
2.2,AC,AC,0.00428571428571426,0.007742672638813833,1.2,0.0,0.0,0.0,0.00428571428571426,0.007742672638813833,1.2,0.402478365962581,1.235409869663662,2.2422443638721186,0.15210937208667413,0.402478365962581,1.235409869663662,12.576761610636437,11.251809438151477,5.488060473923982,0.9990595921637921,4.695387262744879,1.0
